rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"2-комн. кв., 76 м2",от агента,86 764 сом/мес.,226,1,"Бишкек, Военторг, Исанова 45",Leonardo,5 этаж из 12,,элитка,"монолитный, 2017 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8291707655099926b18e6-12721415
"2-комн. кв., 68 м2",от агента,65 073 сом/мес.,683,1,"Бишкек, Азия Молл",,3 этаж из 10,,элитка,кирпичный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/2180454647b227cb4cac1-56760114
"1-комн. кв., 50 м2",от агента,60 735 сом/мес.,1240,7,"Бишкек, Магистраль",,4 этаж из 11,,элитка,кирпичный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/739945664ae2eb60d65f5-08472154
"2-комн. кв., 65 м2",от агента,69 411 сом/мес.,1019,6,"Бишкек, Старый аэропорт, Ажыбек Баатыра 1","Жилой комплекс ""Эльдорадо""",10 этаж из 12,,элитка,"монолитный, 2018 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/770612364b4de5c7eb947-45843498
"2-комн. кв., 55 м2",от агента,60 735 сом/мес.,1044,3,"Бишкек, Ак Кеме",,2 этаж из 10,,элитка,кирпичный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/841333364ae2cdd665ca8-08834080
"1-комн. кв., 55 м2",от агента,50 000 сом/мес.,746,6,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Итальянский квартал,7 этаж из 8,,элитка,"монолитный, 2021 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/1362862654b29f74fc1c7-94391804
"3-комн. кв., 126 м2",от агента,173 527 сом/мес.,333,,"Бишкек, Парк Панфилова/Спартак",,4 этаж из 9,,элитка,кирпичный,Добавлено 11 дней назад,евроремонт,https://www.house.kg/details/937276165b9c52bec4796-41249923
"2-комн. кв., 86 м2",от агента,69 411 сом/мес.,980,3,"Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",Ак-Кеме,4 этаж из 10,,элитка,"монолитный, 2018 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/989536164a7a5ae368332-74620633
"2-комн. кв., 70 м2",от агента,86 764 сом/мес.,616,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Английский квартал,10 этаж из 14,,элитка,"монолитный, 2019 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/980898664a68d8e1a5391-52636642
"2-комн. кв., 84 м2",от агента,104 116 сом/мес.,663,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,12 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/759517764a68b49852c17-79246491
"2-комн. кв., 64 м2",от агента,86 764 сом/мес.,1006,6,"Бишкек, Золотой квадрат",,2 этаж из 10,,элитка,кирпичный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/104341264a68a664c1c17-33816170
"3-комн. кв., 72 м2",от агента,112 793 сом/мес.,967,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Итальянский квартал,7 этаж из 8,,элитка,"монолитный, 2021 г.",Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/465627064928c53d45b11-38596570
"2-комн. кв., 55 м2",от агента,56 396 сом/мес.,352,1,"Бишкек, Душанбинка, Жаманбаева 8/2/Душанбинская",Чатыр-Куль,6 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/6684415655097fcdff0a6-70578207
"3-комн. кв., 120 м2",от агента,112 793 сом/мес.,281,,"Бишкек, Золотой квадрат",,6 этаж из 12,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/3292951654db4fd76cc03-28625918
"3-комн. кв., 100 м2",от агента,112 793 сом/мес.,296,2,"Бишкек, Дворец спорта",,7 этаж из 12,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/9785392654db45abe0f42-43960623
"1-комн. кв., 45 м2",от агента,40 000 сом/мес.,583,3,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Медерова",Кок-Джар де Люкс,9 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/591669565680bab384fa8-39125423
"2-комн. кв., 88 м2",от агента,60 735 сом/мес.,330,3,"Бишкек, КНУ",,7 этаж из 11,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/4370721654dba159a6567-58784979
"3-комн. кв., 100 м2",от агента,216 909 сом/мес.,440,1,"Бишкек, ЦУМ, Киевская/Тыныстанова",Bay Tash Tower,9 этаж из 19,,элитка,"монолитный, 2018 г.",Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/2552800651e50b1ca9414-10512156
"2-комн. кв., 80 м2",от агента,86 764 сом/мес.,193,,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,5 этаж из 8,,элитка,"монолитный, 2020 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8312851654dab21acf766-62215269
"3-комн. кв., 89 м2",от агента,82 425 сом/мес.,448,1,"Бишкек, Московская - Белинка, Турусбекова/Боконбаева",Центриум Резиденс,5 этаж из 15,,элитка,"монолитный, 2019 г.",Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/442808165279762cc0dd5-56896530
"3-комн. кв., 120 м2",от агента,138 822 сом/мес.,286,,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",15 этаж из 17,,элитка,"монолитный, 2019 г.",Добавлено 11 дней назад,евроремонт,https://www.house.kg/details/691701565b9c4896e6442-77371146
"2-комн. кв., 64 м2",от агента,78 087 сом/мес.,525,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,11 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/271023164dc75104d2824-71003007
"2-комн. кв., 50 м2",от агента,60 735 сом/мес.,678,,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Жилой комплекс «Ботанический сад»,12 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/270353964acdaa4cc97e6-12099374
"3-комн. кв., 85 м2",от агента,104 116 сом/мес.,701,2,"Бишкек, Азия Молл",,6 этаж из 10,,элитка,монолитный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/639569764a90496cf4891-65326868
"3-комн. кв., 95 м2",от агента,86 764 сом/мес.,1032,3,"Бишкек, ЖД вокзал",,3 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/75235466461d2782c2bb5-05519454
"2-комн. кв., 70 м2",от агента,56 396 сом/мес.,554,5,"Бишкек, Парк Панфилова/Спартак, Панфилова/Фрунзе",Панфилов-3,14 этаж из 16,,элитка,"монолитный, 2015 г.",Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/415977765124d25267b45-32956546
"2-комн. кв., 61 м2",от агента,56 396 сом/мес.,1123,7,"Бишкек, Бишкек-Парк",,4 этаж из 11,,элитка,кирпичный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/3631244648ae9ebbfdc12-06881253
"2-комн. кв., 56 м2",от агента,60 735 сом/мес.,651,3,"Бишкек, Дворец спорта",,7 этаж из 12,,элитка,кирпичный,Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/472004765125125d82d71-61993816
"3-комн. кв., 165 м2",от агента,130 145 сом/мес.,221,,"Бишкек, Военторг, Сыдыкова/Коенкозова","Жилой дом ""Арбат""",2 этаж из 14,,элитка,"монолитный, 2021 г.",Добавлено 11 дней назад,евроремонт,https://www.house.kg/details/362353365b9c4289f89c7-79100395
"2-комн. кв., 68 м2",от агента,60 735 сом/мес.,1641,4,"Бишкек, Золотой квадрат",,8 этаж из 12,,элитка,кирпичный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/736275864ae2d6fb8f5f4-06507209
"2-комн. кв., 63 м2",от агента,60 735 сом/мес.,491,6,"Бишкек, Филармония, Туруcбекова 109/1",Максимум плюс,8 этаж из 8,,элитка,"монолитный, 2016 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/237560654da8a349d599-96788460
"2-комн. кв., 80 м2",от агента,112 793 сом/мес.,676,1,"Бишкек, Военторг, Сыдыкова/Коенкозова","Жилой дом ""Арбат""",10 этаж из 14,,элитка,"монолитный, 2021 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/904515864e067f88ac635-53436052
"2-комн. кв., 75 м2",от агента,95 440 сом/мес.,257,1,"Бишкек, Ак Кеме, Минжилкиева 117",Жилой комплекс «IHLAS Residence»,8 этаж из 13,,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8321578654da838af97e1-19153280
"1-комн. кв., 50 м2",от агента,52 058 сом/мес.,936,5,"Бишкек, Политех, Ажыбек-Баатыра 10в","Жилой дом ""Casa Bella""",9 этаж из 12,,элитка,"монолитный, 2018 г.",Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/319097265055c733adb13-44244747
"2-комн. кв., 68 м2",от агента,60 735 сом/мес.,276,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",София,4 этаж из 9,,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/1151728654dab7ae72c05-00191271
"2-комн. кв., 64 м2",от агента,60 735 сом/мес.,878,2,"Бишкек, Военторг",,10 этаж из 12,,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/73924116471aec270f0e3-67040159
"2-комн. кв., 62 м2",от агента,69 411 сом/мес.,746,1,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",Park Avenue,7 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/1937464a8fca3779121-43515226
"3-комн. кв., 115 м2",от агента,147 498 сом/мес.,123,,"Бишкек, Бишкек-Парк",,7 этаж из 15,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/859674265680a69cedfd0-84913737
"3-комн. кв., 127 м2",от агента,130 145 сом/мес.,1019,2,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,2 этаж из 8,,элитка,"монолитный, 2020 г.",Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/3482120647d973d19a7c7-10728914
"2-комн. кв., 90 м2",от агента,78 087 сом/мес.,118,1,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,5 этаж из 8,,элитка,"монолитный, 2020 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/60982306573e7331702f9-78068954
"2-комн. кв., 75 м2",от агента,86 764 сом/мес.,584,1,"Бишкек, Военторг, Сыдыкова 141",Манхэттен,13 этаж из 15,,элитка,"монолитный, 2018 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/446287564acda54ce6192-58626259
"2-комн. кв., 64 м2",от агента,43 382 сом/мес.,679,3,"Бишкек, Магистраль",,9 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/581716577da759ab7f7-56565098
"2-комн. кв., 70 м2",от агента,69 411 сом/мес.,291,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Английский квартал,10 этаж из 14,,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/6525459654da9cc413c66-97306639
"1-комн. кв., 50 м2",от агента,52 058 сом/мес.,356,3,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",Жилой дом “Флоренция”,7 этаж из 14,,элитка,"монолитный, 2022 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/717552654db81717c6b9-07167414
"2-комн. кв., 60 м2",от агента,43 382 сом/мес.,242,1,"Бишкек, Душанбинка, Жаманбаева 8/2/Душанбинская",Чатыр-Куль,3 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 11 дней назад,евроремонт,https://www.house.kg/details/396396665b9c364603086-81230240
"1-комн. кв., 52 м2",от агента,47 720 сом/мес.,540,5,"Бишкек, Бишкек-Парк, Токтогула 167",Оникс,10 этаж из 14,,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/4997940654dac05488d08-76528761
"2-комн. кв., 43 м2",от агента,69 411 сом/мес.,1115,6,"Бишкек, Ак Кеме",,4 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/9296344647b14bd26bfb5-20554513
"2-комн. кв., 60 м2",от агента,60 735 сом/мес.,266,,"Бишкек, Бишкек-Парк",,11 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/5320252655456217193f4-80706006
"3-комн. кв., 65 м2",от агента,60 000 сом/мес.,476,1,"Бишкек, Дордой Плаза, Токтогула 24/Гоголя",,6 этаж из 9,полностью меблирована,106 серия,кирпичный,Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/34642266550a1e2d91594-49125419
"2-комн. кв., 70 м2",от агента,86 764 сом/мес.,269,,"Бишкек, 12 м-н",,4 этаж из 9,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/50248786540bc7f0ad122-10000605
"2-комн. кв., 76 м2",от агента,86 764 сом/мес.,462,,"Бишкек, Бишкек-Парк, Турузбекова 9",,11 этаж из 15,,элитка,монолитный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/9103517652e6e5b3df183-07997479
"2-комн. кв., 55 м2",от агента,60 735 сом/мес.,550,1,"Бишкек, Площадь Победы",,4 этаж из 10,,элитка,монолитный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/972419652e3f120a2481-98660580
"2-комн. кв., 50 м2",от агента,60 735 сом/мес.,734,,"Бишкек, Азия Молл, Балтагулова 2/3",,2 этаж из 8,,элитка,монолитный,Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/333452264e09fea08f8a4-07352655
"2-комн. кв., 53 м2",от собственника,60 735 сом/мес.,578,2,"Бишкек, БГУ, пр. Мира 23/Сухомлинова","ЖК ""CRYSTAL"" Кристалл",11 этаж из 12,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/647489665c1c4d3aef3e0-04679904
"2-комн. кв., 67 м2",от агента,73 749 сом/мес.,780,,"Бишкек, Бишкек-Парк, Токтогула/Исанова",Elite Residence,15 этаж из 16,,элитка,"монолитный, 2018 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/987308564bf82f0a7df73-83953319
"4-комн. кв., 130 м2",от агента,173 527 сом/мес.,193,1,"Бишкек, Ак Кеме, Толомуша     Океева 39/5",,7 этаж из 14,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/356143665584614effff7-23906802
"3-комн. кв., 78 м2",от агента,65 073 сом/мес.,414,1,"Бишкек, Магистраль, Магистраль пересекает Жукеева Пудовкина",,8 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/1845579654c8d65202e46-28224799
"2-комн. кв., 65 м2",от агента,50 000 сом/мес.,348,,"Бишкек, Кок-Жар м-н",,9 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/2400124654c90236aca80-46325094
"2-комн. кв., 80 м2",от агента,69 411 сом/мес.,973,6,"Бишкек, Московская - Уметалиева, Масковская 191",,12 этаж из 12,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/3362004646af9ca866e27-13209984
"2-комн. кв., 48 м2",от агента,60 735 сом/мес.,1060,5,"Бишкек, Душанбинка",,9 этаж из 12,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/2271786646ed60360ba17-53780259
"5-комн. кв., 350 м2",от агента,216 909 сом/мес.,1004,1,"Бишкек, Золотой квадрат, Раззакова 33/1",,7 этаж из 8,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/1674194645db4df83c951-74324991
"3-комн. кв., 110 м2",от агента,104 116 сом/мес.,1067,7,"Бишкек, Московская - Белинка",,9 этаж из 10,полностью меблирована,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/3348047645a2119784559-62329678
"2-комн. кв., 70 м2",от агента,86 764 сом/мес.,858,,"Бишкек, ЦУМ",,16 этаж из 18,полностью меблирована,элитка,монолитный,Добавлено 5 месяцев назад,евроремонт,https://www.house.kg/details/2785226650a61f4b713c3-67514354
"2-комн. кв., 65 м2",от агента,60 735 сом/мес.,653,2,"Бишкек, Ак Кеме",,6 этаж из 9,полностью меблирована,элитка,монолитный,Добавлено 5 месяцев назад,хорошее,https://www.house.kg/details/7437927650a603617e509-10426697
"2-комн. кв., 72 м2",от агента,53 000 сом/мес.,308,,"Бишкек, 12 м-н",,3 этаж из 9,полностью меблирована,элитка,кирпичный,Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/1667789655774fc391a00-99149870
"3-комн. кв., 138 м2",от агента,156 174 сом/мес.,315,1,"Бишкек, Магистраль, Токомбаева/Токомбаева",Итальянский квартал,3 этаж из 10,,элитка,"монолитный, 2021 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/460085665562f107de636-21998059
"1-комн. кв., 45 м2",от агента,43 382 сом/мес.,345,1,"Бишкек, Политех",,7 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/8272786655f1132d05f83-22005206
"2-комн. кв., 77 м2",от агента,52 058 сом/мес.,299,2,"Бишкек, Магистраль, Аалы Токомбаева 23/1",Дианур,7 этаж из 10,,элитка,"монолитный, 2017 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/5089932655dcb813a2b30-98475775
"2-комн. кв., 55 м2",от агента,47 720 сом/мес.,346,2,"Бишкек, АЮ Grand",,4 этаж из 10,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8472548655d951611c026-00778696
"3-комн. кв., 130 м2",от агента,216 909 сом/мес.,164,,"Бишкек, Советская - Скрябина",,5 этаж из 9,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/8093801655d8a9d5fc598-51553744
"4-комн. кв., 158 м2",от агента,121 469 сом/мес.,1214,,"Бишкек, Магистраль, Токомбаева 27",Bristol,3 этаж из 9,полностью меблирована,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/8469882645f208cd37239-25494474
"3-комн. кв., 160 м2",от агента,104 116 сом/мес.,235,2,"Бишкек, Ак Кеме",,4 этаж из 9,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/4486196655b249bc11261-66458636
"3-комн. кв., 85 м2",от агента,78 087 сом/мес.,706,3,"Бишкек, Академия Наук, Турусбекова 100",,7 этаж из 10,,элитка,монолитный,Добавлено 7 месяцев назад,хорошее,https://www.house.kg/details/715460864c2039d673481-62798675
"1-комн. кв., 40 м2",от агента,60 735 сом/мес.,921,,"Бишкек, Асанбай м-н",,2 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/825300864a166df822d50-62554911
"2-комн. кв., 55 м2",от агента,43 382 сом/мес.,889,6,"Бишкек, 4 м-н",,10 этаж из 11,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/49680896559ec4c1b2ce6-53289663
"1-комн. кв., 45 м2",от агента,43 382 сом/мес.,446,4,"Бишкек, Джальская больница, Грибоедова",,12 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/76694655b2872951d67-50623379
"2-комн. кв., 68 м2",от агента,60 735 сом/мес.,175,,"Бишкек, Сквер Тоголок Молдо, Исанова 1",,7 этаж из 11,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/9890324656e9daeb08ad3-33196219
"4-комн. кв., 150 м2",от агента,104 116 сом/мес.,100,1,"Бишкек, VEFA",,2 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/98224656c34ded6f132-02635067
"3-комн. кв., 100 м2",от агента,104 116 сом/мес.,172,,"Бишкек, Азия Молл",,9 этаж из 12,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/9733978655ae42f6a2ad6-80549473
"3-комн. кв., 100 м2",от агента,130 145 сом/мес.,281,1,"Бишкек, Карпинка",,9 этаж из 16,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/4455122655ae2f73ce445-78028156
"2-комн. кв., 72 м2",от агента,56 396 сом/мес.,1028,2,"Бишкек, Филармония",,9 этаж из 12,,элитка,монолитный,Добавлено 8 месяцев назад,хорошее,https://www.house.kg/details/6219086647d7b28d6b2f7-47118196
"2-комн. кв., 46 м2",от агента,52 058 сом/мес.,1488,5,"Бишкек, ЦУМ",,3 этаж из 4,полностью меблирована,104 серия,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/1972354645f2d4d591520-79909063
"2-комн. кв., 64 м2",от агента,52 058 сом/мес.,1439,8,"Бишкек, Кок-Жар ж/м",,6 этаж из 12,,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/5678204645f2f488a8309-60089304
"2-комн. кв., 59 м2",от агента,60 735 сом/мес.,1329,2,"Бишкек, Магистраль",,9 этаж из 9,,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/2807336645f2fcc926429-27656447
"2-комн. кв., 110 м2",от агента,69 411 сом/мес.,850,,"Бишкек, ЖД вокзал",,7 этаж из 12,,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/3816920645f30b48f6590-75094875
"5-комн. кв., 3500 м2",от агента,303 673 сом/мес.,1117,2,"Бишкек, Золотой квадрат, Боконбаева 103/бульв. Эркиндик",Триумф Стиль,9 этаж из 12,,элитка,"монолитный, 2017 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/9925545646077d08d0133-88059792
"1-комн. кв., 38 м2",от агента,35 000 сом/мес.,866,5,"Бишкек, 8 м-н",,1 этаж из 4,,104 серия,кирпичный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/7979893656e9cc4bcee66-88720520
"3-комн. кв., 100 м2",от агента,86 764 сом/мес.,519,,"Бишкек, Джальская больница, Грибоедова 16",,3 этаж из 12,,элитка,монолитный,Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/998693865a89d39473367-65165180
"6 и более комнат кв., 230 м2",от агента,173 527 сом/мес.,648,,"Бишкек, Сквер Тоголок Молдо",,6 этаж из 7,,индивид. планировка,монолитный,Добавлено 9 месяцев назад,хорошее,https://www.house.kg/details/756203964632513ecd581-64266223
"2-комн. кв., 55 м2",от агента,35 000 сом/мес.,672,,"Бишкек, 12 м-н",,9 этаж из 9,,106 серия,панельный,Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/6823025656025d73a62e1-10992526
"2-комн. кв., 42 м2",от агента,56 396 сом/мес.,1375,3,"Бишкек, 1000 мелочей",,6 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/566432064632e5dbc0993-26904931
"3-комн. кв., 134 м2",от агента,130 145 сом/мес.,809,,"Бишкек, Дворец спорта, Исанова 117",,3 этаж из 10,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/705632864633753dc1340-30625148
"2-комн. кв., 60 м2",от агента,104 116 сом/мес.,746,2,"Бишкек, Военторг, Сыдыкова/Коенкозова","Жилой дом ""Арбат""",4 этаж из 14,,элитка,"монолитный, 2021 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/792950564645e5db7d3a5-11006445
"3-комн. кв., 110 м2",от агента,78 087 сом/мес.,200,,"Бишкек, КНУ, Шевченко 144",,4 этаж из 9,,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/7558692655ae17e1f8099-64164962
"2-комн. кв., 45 м2",от собственника,30 000 сом/мес.,1121,,"Иссык-Кульская область, Чолпон-Ата, Советская 216",,3 этаж из 4,полностью меблирована,индивид. планировка,"кирпичный, 1980 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/8733601659ba59fc2f625-01441620
"3-комн. кв., 80 м2",от агента,86 764 сом/мес.,890,1,"Бишкек, Московская - Уметалиева, Масковская 191",,10 этаж из 12,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/6840300646af588242099-62418302
"2-комн. кв., 97 м2",от агента,86 764 сом/мес.,668,,"Бишкек, Сквер Тоголок Молдо, Исанова 33",,9 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/3884933646b2bd4b73828-54815844
"3-комн. кв., 100 м2",от агента,143 160 сом/мес.,657,1,"Бишкек, 7 м-н",,12 этаж из 12,,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/3852740646c590dbe1010-44819512
"1-комн. кв., 50 м2",от агента,52 058 сом/мес.,1180,1,"Бишкек, Асанбай м-н",,11 этаж из 12,,элитка,монолитный,Добавлено 8 месяцев назад,хорошее,https://www.house.kg/details/836194564928a7d133ed4-98923831
"2-комн. кв., 83 м2",от агента,117 131 сом/мес.,737,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,7 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/7058434646c6a97109813-35299825
"3-комн. кв., 120 м2",от агента,104 116 сом/мес.,816,1,"Бишкек, Моссовет",,7 этаж из 10,полностью меблирована,элитка,монолитный,Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/535980064549d9d69ebc1-92533550
"2-комн. кв., 36 м2",от агента,73 749 сом/мес.,806,1,"Бишкек, Джал-29 м-н",,4 этаж из 9,полностью меблирована,элитка,монолитный,Добавлено 9 месяцев назад,хорошее,https://www.house.kg/details/225076564786028d1e033-60037667
"1-комн. кв., 52 м2",от агента,45 000 сом/мес.,2077,23,"Бишкек, Кок-Жар ж/м",,4 этаж из 13,,элитка,кирпичный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/2807887647b2a16cd0d68-94011964
"2-комн. кв., 50 м2",от агента,69 411 сом/мес.,825,1,"Бишкек, ЦУМ",,10 этаж из 13,,элитка,монолитный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/8030778647d99fb19cd49-23744657
"1-комн. кв., 56 м2",от агента,52 058 сом/мес.,1106,2,"Бишкек, Асанбай м-н",,7 этаж из 9,полностью меблирована,элитка,кирпичный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/2962375647b19c709ab65-68027364
"2-комн. кв., 100 м2",от агента,78 087 сом/мес.,1098,3,"Бишкек, Дордой Плаза",,10 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/99171647ec5e1a8b924-88732972
